"country","variable","value"
"Grenada","men15_24",7.73
"Grenada","men25_34",6.89
"Grenada","men35_44",6.04
"Grenada","men45_54",5.23
"Grenada","men55_64",4.49
"Grenada","men65_plus",3.81
"Guatemala","gdp",5.56
"Guatemala","women15_24",4.22
"Guatemala","women25_34",3.57
"Guatemala","women35_44",2.88
"Guatemala","women45_54",2.2
"Guatemala","women55_64",1.65
"Guatemala","women65_plus",1.41
"Guatemala","men15_24",4.93
"Guatemala","men25_34",4.67
"Guatemala","men35_44",3.93
"Guatemala","men45_54",3.19
"Guatemala","men55_64",2.3
"Guatemala","men65_plus",1.82
"Guyana","gdp",3.49
"Guyana","women15_24",8.09
"Guyana","women25_34",7.08
"Guyana","women35_44",6.29
"Guyana","women45_54",5.66
"Guyana","women55_64",4.97
"Guyana","women65_plus",4.18
"Guyana","men15_24",7.26
"Guyana","men25_34",6.96
"Guyana","men35_44",6.64
"Guyana","men45_54",6.47
"Guyana","men55_64",5.9
"Guyana","men65_plus",5.3
"Honduras","gdp",3.99
"Honduras","women15_24",5.46
"Honduras","women25_34",4.84
"Honduras","women35_44",3.87
"Honduras","women45_54",3.14
"Honduras","women55_64",2.47
"Honduras","women65_plus",1.77
"Honduras","men15_24",5.18
"Honduras","men25_34",4.83
"Honduras","men35_44",4.24
"Honduras","men45_54",3.75
"Honduras","men55_64",2.92
"Honduras","men65_plus",2.15
"Croatia","gdp",NA
"Croatia","women15_24",7.31
"Croatia","women25_34",8.77
"Croatia","women35_44",7.88
"Croatia","women45_54",6.57
"Croatia","women55_64",5.22
"Croatia","women65_plus",3.71
"Croatia","men15_24",7.32
"Croatia","men25_34",8.78
"Croatia","men35_44",8.67
"Croatia","men45_54",7.97
"Croatia","men55_64",7.32
"Croatia","men65_plus",5.94
"Haiti","gdp",2.2
"Haiti","women15_24",4.28
"Haiti","women25_34",3.4
"Haiti","women35_44",2.15
"Haiti","women45_54",1.51
"Haiti","women55_64",1.07
"Haiti","women65_plus",0.77
"Haiti","men15_24",4.87
"Haiti","men25_34",4.93
"Haiti","men35_44",3.48
"Haiti","men45_54",2.53
"Haiti","men55_64",1.96
"Haiti","men65_plus",1.53
"Hungary","gdp",NA
"Hungary","women15_24",10.1
"Hungary","women25_34",10.6
"Hungary","women35_44",10.1
"Hungary","women45_54",9.24
"Hungary","women55_64",8.19
"Hungary","women65_plus",6.77
"Hungary","men15_24",10
"Hungary","men25_34",10.6
"Hungary","men35_44",10.3
"Hungary","men45_54",9.74
"Hungary","men55_64",8.94
"Hungary","men65_plus",7.75
"Indonesia","gdp",4.53
"Indonesia","women15_24",6.31
"Indonesia","women25_34",5.29
"Indonesia","women35_44",4.09
"Indonesia","women45_54",2.97
"Indonesia","women55_64",1.97
"Indonesia","women65_plus",1.33
"Indonesia","men15_24",6.99
"Indonesia","men25_34",6.71
"Indonesia","men35_44",5.68
"Indonesia","men45_54",4.76
"Indonesia","men55_64",3.67
"Indonesia","men65_plus",2.48
"India","gdp",1.81
"India","women15_24",3.73
"India","women25_34",2.75
"India","women35_44",2.02
"India","women45_54",1.37
"India","women55_64",0.84
"India","women65_plus",0.52
"India","men15_24",5.77
"India","men25_34",5.28
"India","men35_44",4.44
"India","men45_54",3.82
"India","men55_64",2.93
"India","men65_plus",2.2
"Ireland","gdp",26.5
"Ireland","women15_24",10.8
"Ireland","women25_34",10.6
"Ireland","women35_44",9.65
"Ireland","women45_54",8.78
"Ireland","women55_64",7.84
"Ireland","women65_plus",6.89
"Ireland","men15_24",10.4
"Ireland","men25_34",10.4
"Ireland","men35_44",9.65
"Ireland","men45_54",8.77
"Ireland","men55_64",7.85
"Ireland","men65_plus",7.01
"Iran","gdp",8.65
"Iran","women15_24",6.71
"Iran","women25_34",4.78
"Iran","women35_44",3.06
"Iran","women45_54",1.46
"Iran","women55_64",0.66
"Iran","women65_plus",0.36
"Iran","men15_24",7.77
"Iran","men25_34",6.85
"Iran","men35_44",5.5
"Iran","men45_54",3.69
"Iran","men55_64",2.14
"Iran","men65_plus",1.32
"Iraq","gdp",7.96
"Iraq","women15_24",4.22
"Iraq","women25_34",3.92
"Iraq","women35_44",2.94
"Iraq","women45_54",1.65
"Iraq","women55_64",0.81
"Iraq","women65_plus",0.28
"Iraq","men15_24",5.43
"Iraq","men25_34",6.1
"Iraq","men35_44",5.97
"Iraq","men45_54",4.62
"Iraq","men55_64",3.11
"Iraq","men65_plus",1.39
"Iceland","gdp",34.4
"Iceland","women15_24",8.22
"Iceland","women25_34",11.1
"Iceland","women35_44",11.1
"Iceland","women45_54",10.2
"Iceland","women55_64",9.28
"Iceland","women65_plus",7.76
"Iceland","men15_24",8.32
"Iceland","men25_34",10.7
"Iceland","men35_44",11.4
"Iceland","men45_54",11.2
"Iceland","men55_64",10.9
"Iceland","men65_plus",10.1
"Israel","gdp",24.5
"Israel","women15_24",12.1
"Israel","women25_34",12.5
"Israel","women35_44",11.7
"Israel","women45_54",10.8
"Israel","women55_64",9.64
"Israel","women65_plus",8.72
"Israel","men15_24",11.8
"Israel","men25_34",12.4
"Israel","men35_44",12.1
"Israel","men45_54",11.4
"Israel","men55_64",10.7
"Israel","men65_plus",9.94
"Italy","gdp",36.8
"Italy","women15_24",10.9
"Italy","women25_34",10.7
"Italy","women35_44",9.47
"Italy","women45_54",8.1
"Italy","women55_64",6.82
"Italy","women65_plus",6.26
"Italy","men15_24",10.8
"Italy","men25_34",10.8
"Italy","men35_44",10
"Italy","men45_54",9.2
"Italy","men55_64",8.08
"Italy","men65_plus",7.52
"Jamaica","gdp",8.59
"Jamaica","women15_24",9.49
"Jamaica","women25_34",8.61
"Jamaica","women35_44",7.36
"Jamaica","women45_54",6.4
"Jamaica","women55_64",5.58
"Jamaica","women65_plus",4.9
"Jamaica","men15_24",8.95
"Jamaica","men25_34",8.32
"Jamaica","men35_44",7.3
"Jamaica","men45_54",6.39
"Jamaica","men55_64",5.7
"Jamaica","men65_plus",5
"Jordan","gdp",7.45
"Jordan","women15_24",8.75
"Jordan","women25_34",7.94
"Jordan","women35_44",6.25
"Jordan","women45_54",4.04
"Jordan","women55_64",2.2
"Jordan","women65_plus",0.85
"Jordan","men15_24",9.21
"Jordan","men25_34",9.03
"Jordan","men35_44",8.48
"Jordan","men45_54",7.39
"Jordan","men55_64",5.88
"Jordan","men65_plus",3.42
"Japan","gdp",32.1
"Japan","women15_24",12
"Japan","women25_34",12.2
"Japan","women35_44",11.3
"Japan","women45_54",10.3
"Japan","women55_64",8.95
"Japan","women65_plus",7.35
"Japan","men15_24",11.8
"Japan","men25_34",12.3
"Japan","men35_44",11.6
"Japan","men45_54",10.7
"Japan","men55_64",9.79
"Japan","men65_plus",8.77
"Kazakhstan","gdp",13.5
"Kazakhstan","women15_24",9.38
"Kazakhstan","women25_34",10.3
"Kazakhstan","women35_44",10
"Kazakhstan","women45_54",9.09
"Kazakhstan","women55_64",7.5
"Kazakhstan","women65_plus",5.17
"Kazakhstan","men15_24",9.13
"Kazakhstan","men25_34",10.3
"Kazakhstan","men35_44",10.2
"Kazakhstan","men45_54",9.51
"Kazakhstan","men55_64",8.51
"Kazakhstan","men65_plus",6.94
"Kenya","gdp",3.21
"Kenya","women15_24",5.87
"Kenya","women25_34",5.02
"Kenya","women35_44",3.35
"Kenya","women45_54",1.99
"Kenya","women55_64",0.92
"Kenya","women65_plus",0.44
"Kenya","men15_24",6.23
"Kenya","men25_34",6.84
"Kenya","men35_44",5.85
"Kenya","men45_54",4.65
"Kenya","men55_64",3.03
"Kenya","men65_plus",1.63
"Kyrgyz Republic","gdp",5.16
"Kyrgyz Republic","women15_24",9.64
"Kyrgyz Republic","women25_34",10.4
"Kyrgyz Republic","women35_44",10.2
"Kyrgyz Republic","women45_54",9.21
"Kyrgyz Republic","women55_64",7.35
"Kyrgyz Republic","women65_plus",5.13
"Kyrgyz Republic","men15_24",9.62
"Kyrgyz Republic","men25_34",10.4
"Kyrgyz Republic","men35_44",10.5
"Kyrgyz Republic","men45_54",9.95
"Kyrgyz Republic","men55_64",8.65
"Kyrgyz Republic","men65_plus",6.6
"Cambodia","gdp",NA
"Cambodia","women15_24",3.65
"Cambodia","women25_34",2.93
"Cambodia","women35_44",2.21
"Cambodia","women45_54",1.72
"Cambodia","women55_64",1.05
"Cambodia","women65_plus",0.41
"Cambodia","men15_24",4.55
"Cambodia","men25_34",4.48
"Cambodia","men35_44",3.85
"Cambodia","men45_54",3.6
"Cambodia","men55_64",3.24
"Cambodia","men65_plus",2.31
"Kiribati","gdp",2.14
"Kiribati","women15_24",7.64
"Kiribati","women25_34",6.5
"Kiribati","women35_44",5.26
"Kiribati","women45_54",3.94
"Kiribati","women55_64",3.08
"Kiribati","women65_plus",2.26
"Kiribati","men15_24",7.48
"Kiribati","men25_34",7.02
"Kiribati","men35_44",6.21
"Kiribati","men45_54",5.14
"Kiribati","men55_64",4.47
"Kiribati","men65_plus",3.34
"South Korea","gdp",12.7
"South Korea","women15_24",10.8
"South Korea","women25_34",10.5
"South Korea","women35_44",9.08
"South Korea","women45_54",7.09
"South Korea","women55_64",4.76
"South Korea","women65_plus",2.16
"South Korea","men15_24",11.2
"South Korea","men25_34",11.6
"South Korea","men35_44",11
"South Korea","men45_54",9.71
"South Korea","men55_64",8.24
"South Korea","men65_plus",5.82
"Kuwait","gdp",NA
"Kuwait","women15_24",8.07
"Kuwait","women25_34",7.51
"Kuwait","women35_44",6.12
"Kuwait","women45_54",4.43
"Kuwait","women55_64",2.71
"Kuwait","women65_plus",0.95
"Kuwait","men15_24",8.02
"Kuwait","men25_34",7.57
"Kuwait","men35_44",7.36
"Kuwait","men45_54",6.38
"Kuwait","men55_64",4.85
"Kuwait","men65_plus",2.17
"Lao","gdp",1.96
"Lao","women15_24",3.6
"Lao","women25_34",3.11
"Lao","women35_44",2.32
"Lao","women45_54",1.39
"Lao","women55_64",0.75
"Lao","women65_plus",0.41
"Lao","men15_24",4.38
"Lao","men25_34",4.33
"Lao","men35_44",4.07
"Lao","men45_54",3.38
"Lao","men55_64",2.51
"Lao","men65_plus",1.68
"Lebanon","gdp",7.55
"Lebanon","women15_24",7.38
"Lebanon","women25_34",7.17
"Lebanon","women35_44",6.13
"Lebanon","women45_54",4.93
"Lebanon","women55_64",3.47
"Lebanon","women65_plus",2.58
"Lebanon","men15_24",7.03
"Lebanon","men25_34",7.3
"Lebanon","men35_44",6.95
"Lebanon","men45_54",6.53
"Lebanon","men55_64",4.8
"Lebanon","men65_plus",3.21
"Liberia","gdp",NA
"Liberia","women15_24",2.26
"Liberia","women25_34",1.71
"Liberia","women35_44",1.4
"Liberia","women45_54",0.92
"Liberia","women55_64",0.54
"Liberia","women65_plus",0.29
"Liberia","men15_24",3.98
"Liberia","men25_34",4.04
"Liberia","men35_44",3.87
"Liberia","men45_54",3.36
"Liberia","men55_64",2.34
"Liberia","men65_plus",1.3
"Libya","gdp",NA
"Libya","women15_24",4.22
"Libya","women25_34",3.25
"Libya","women35_44",2.43
"Libya","women45_54",1.79
"Libya","women55_64",1.28
"Libya","women65_plus",0.91
"Libya","men15_24",6.29
"Libya","men25_34",5.52
"Libya","men35_44",4.76
"Libya","men45_54",4.04
"Libya","men55_64",3.36
"Libya","men65_plus",2.74
"St. Lucia","gdp",11.7
"St. Lucia","women15_24",8.34
"St. Lucia","women25_34",7.88
"St. Lucia","women35_44",7.17
"St. Lucia","women45_54",6.28
"St. Lucia","women55_64",5.66
"St. Lucia","women65_plus",5.01
"St. Lucia","men15_24",8.02
"St. Lucia","men25_34",7.59
"St. Lucia","men35_44",7.34
"St. Lucia","men45_54",6.73
"St. Lucia","men55_64",5.9
"St. Lucia","men65_plus",5.6
"Sri Lanka","gdp",3.88
"Sri Lanka","women15_24",8.26
"Sri Lanka","women25_34",7.81
"Sri Lanka","women35_44",6.92
"Sri Lanka","women45_54",6.18
"Sri Lanka","women55_64",5.52
"Sri Lanka","women65_plus",4.54
"Sri Lanka","men15_24",8.24
"Sri Lanka","men25_34",8.09
"Sri Lanka","men35_44",7.46
"Sri Lanka","men45_54",7.11
"Sri Lanka","men55_64",6.69
"Sri Lanka","men65_plus",5.81
"Lesotho","gdp",1.28
"Lesotho","women15_24",6.79
"Lesotho","women25_34",6.48
"Lesotho","women35_44",5.55
"Lesotho","women45_54",4.48
"Lesotho","women55_64",3.52
"Lesotho","women65_plus",2.49
"Lesotho","men15_24",5.18
"Lesotho","men25_34",5.05
"Lesotho","men35_44",4.32
"Lesotho","men45_54",3.65
"Lesotho","men55_64",2.95
"Lesotho","men65_plus",2.34
"Lithuania","gdp",NA
"Lithuania","women15_24",9.01
"Lithuania","women25_34",11.2
"Lithuania","women35_44",10.4
"Lithuania","women45_54",9.14
"Lithuania","women55_64",7.04
"Lithuania","women65_plus",4.54
"Lithuania","men15_24",8.91
"Lithuania","men25_34",11
"Lithuania","men35_44",10.3
"Lithuania","men45_54",9.29
"Lithuania","men55_64",8.01
"Lithuania","men65_plus",5.79
"Luxembourg","gdp",68
"Luxembourg","women15_24",8.69
"Luxembourg","women25_34",10.1
"Luxembourg","women35_44",9.22
"Luxembourg","women45_54",8.37
"Luxembourg","women55_64",7.53
"Luxembourg","women65_plus",6.17
"Luxembourg","men15_24",8.6
"Luxembourg","men25_34",10.4
"Luxembourg","men35_44",9.93
"Luxembourg","men45_54",9.49
"Luxembourg","men55_64",9.15
"Luxembourg","men65_plus",8.26
"Latvia","gdp",NA
"Latvia","women15_24",9.54
"Latvia","women25_34",10.8
"Latvia","women35_44",11
"Latvia","women45_54",10
"Latvia","women55_64",8.89
"Latvia","women65_plus",7.43
"Latvia","men15_24",8.9
"Latvia","men25_34",10.8
"Latvia","men35_44",10.8
"Latvia","men45_54",10.2
"Latvia","men55_64",9.5
"Latvia","men65_plus",7.84
"Morocco","gdp",3.82
"Morocco","women15_24",3.1
"Morocco","women25_34",2.28
"Morocco","women35_44",1.3
"Morocco","women45_54",0.7
"Morocco","women55_64",0.25
"Morocco","women65_plus",0.1
"Morocco","men15_24",4.4
"Morocco","men25_34",4.05
"Morocco","men35_44",3.21
"Morocco","men45_54",2.29
"Morocco","men55_64",1.05
"Morocco","men65_plus",0.4
"Moldova","gdp",NA
"Moldova","women15_24",9.97
"Moldova","women25_34",10.3
"Moldova","women35_44",9.54
"Moldova","women45_54",8.65
"Moldova","women55_64",6.45
"Moldova","women65_plus",3.78
"Moldova","men15_24",8.89
"Moldova","men25_34",9.59
"Moldova","men35_44",9.46
"Moldova","men45_54",9.27
"Moldova","men55_64",7.17
"Moldova","men65_plus",5.25
"Madagascar","gdp",1.85
"Madagascar","women15_24",3.36
"Madagascar","women25_34",3.46
"Madagascar","women35_44",2.82
"Madagascar","women45_54",1.86
"Madagascar","women55_64",1.13
"Madagascar","women65_plus",0.78
"Madagascar","men15_24",3.46
"Madagascar","men25_34",4.22
"Madagascar","men35_44",3.93
"Madagascar","men45_54",3.16
"Madagascar","men55_64",2.23
"Madagascar","men65_plus",1.61
"Maldives","gdp",NA
"Maldives","women15_24",5.26
"Maldives","women25_34",4.31
"Maldives","women35_44",3.26
"Maldives","women45_54",2.43
"Maldives","women55_64",2
"Maldives","women65_plus",1.56
"Maldives","men15_24",5.48
"Maldives","men25_34",5.09
"Maldives","men35_44",4.29
"Maldives","men45_54",3.4
"Maldives","men55_64",2.63
"Maldives","men65_plus",2.1
"Mexico","gdp",15
"Mexico","women15_24",7.27
"Mexico","women25_34",6.68
"Mexico","women35_44",5.46
"Mexico","women45_54",4.28
"Mexico","women55_64",3.2
"Mexico","women65_plus",2.33
"Mexico","men15_24",7.46
"Mexico","men25_34",7.44
"Mexico","men35_44",6.6
"Mexico","men45_54",5.42
"Mexico","men55_64",4.09
"Mexico","men65_plus",3
"Marshall Islands","gdp",3.39
"Marshall Islands","women15_24",6.39
"Marshall Islands","women25_34",6.7
"Marshall Islands","women35_44",6.33
"Marshall Islands","women45_54",6.02
"Marshall Islands","women55_64",4.8
"Marshall Islands","women65_plus",3.91
"Marshall Islands","men15_24",6.12
"Marshall Islands","men25_34",7.05
"Marshall Islands","men35_44",7.47
"Marshall Islands","men45_54",7.44
"Marshall Islands","men55_64",7.49
"Marshall Islands","men65_plus",6.56
"North Macedonia","gdp",11.3
"North Macedonia","women15_24",8.52
"North Macedonia","women25_34",8.93
"North Macedonia","women35_44",8.13
"North Macedonia","women45_54",7.18
"North Macedonia","women55_64",5
"North Macedonia","women65_plus",2.9
"North Macedonia","men15_24",8.66
"North Macedonia","men25_34",9.25
"North Macedonia","men35_44",9.19
"North Macedonia","men45_54",9.04
"North Macedonia","men55_64",7.88
"North Macedonia","men65_plus",5.74
"Mali","gdp",1.42
"Mali","women15_24",1.13
"Mali","women25_34",0.68
"Mali","women35_44",0.48
"Mali","women45_54",0.27
"Mali","women55_64",0.12
"Mali","women65_plus",0.06
"Mali","men15_24",2.06
"Mali","men25_34",1.6
"Mali","men35_44",1.34
"Mali","men45_54",1.03
"Mali","men55_64",0.58
"Mali","men65_plus",0.32
"Malta","gdp",18
"Malta","women15_24",7.49
"Malta","women25_34",8.14
"Malta","women35_44",7.67
"Malta","women45_54",6.99
"Malta","women55_64",6.32
"Malta","women65_plus",5.41
"Malta","men15_24",7.53
"Malta","men25_34",8.54
"Malta","men35_44",8.32
"Malta","men45_54",7.72
"Malta","men55_64",7.17
"Malta","men65_plus",6.52
"Myanmar","gdp",0.62
"Myanmar","women15_24",4.67
"Myanmar","women25_34",4.24
"Myanmar","women35_44",3.35
"Myanmar","women45_54",2.51
"Myanmar","women55_64",1.62
"Myanmar","women65_plus",0.95
"Myanmar","men15_24",4.79
"Myanmar","men25_34",4.55
"Myanmar","men35_44",4.12
"Myanmar","men45_54",3.53
"Myanmar","men55_64",2.67
"Myanmar","men65_plus",1.7
"Montenegro","gdp",NA
"Montenegro","women15_24",8.44
"Montenegro","women25_34",8.97
"Montenegro","women35_44",8.73
"Montenegro","women45_54",7.94
"Montenegro","women55_64",6.42
"Montenegro","women65_plus",4.14
"Montenegro","men15_24",8.85
"Montenegro","men25_34",9.49
"Montenegro","men35_44",9.48
"Montenegro","men45_54",9.56
"Montenegro","men55_64",9.06
"Montenegro","men65_plus",7.5
"Mongolia","gdp",4.98
"Mongolia","women15_24",7.11
"Mongolia","women25_34",8.15
"Mongolia","women35_44",7.87
"Mongolia","women45_54",7
"Mongolia","women55_64",5.36
"Mongolia","women65_plus",3.01
"Mongolia","men15_24",6.64
"Mongolia","men25_34",7.84
"Mongolia","men35_44",7.97
"Mongolia","men45_54",7.56
"Mongolia","men55_64",6.95
"Mongolia","men65_plus",5.15
"Mozambique","gdp",0.471
"Mozambique","women15_24",2.25
"Mozambique","women25_34",1.49
"Mozambique","women35_44",1.4
"Mozambique","women45_54",1.11
"Mozambique","women55_64",0.95
"Mozambique","women65_plus",0.47
"Mozambique","men15_24",2.65
"Mozambique","men25_34",2.94
"Mozambique","men35_44",2.81
"Mozambique","men45_54",2.18
"Mozambique","men55_64",1.56
"Mozambique","men65_plus",1.27
"Mauritania","gdp",4.64
"Mauritania","women15_24",2.9
"Mauritania","women25_34",2.25
"Mauritania","women35_44",1.33
"Mauritania","women45_54",0.57
"Mauritania","women55_64",0.2
"Mauritania","women65_plus",0.14
"Mauritania","men15_24",3.78
"Mauritania","men25_34",3.91
"Mauritania","men35_44",2.84
"Mauritania","men45_54",1.68
"Mauritania","men55_64",0.92
"Mauritania","men65_plus",0.39
"Mauritius","gdp",7.99
"Mauritius","women15_24",7.18
"Mauritius","women25_34",6.11
"Mauritius","women35_44",5.02
"Mauritius","women45_54",3.83
"Mauritius","women55_64",2.68
"Mauritius","women65_plus",1.8
"Mauritius","men15_24",7.32
"Mauritius","men25_34",6.89
"Mauritius","men35_44",6.31
"Mauritius","men45_54",5.53
"Mauritius","men55_64",4.42
"Mauritius","men65_plus",3.32
"Malawi","gdp",0.671
"Malawi","women15_24",3.32
"Malawi","women25_34",2.53
"Malawi","women35_44",1.78
"Malawi","women45_54",1.22
"Malawi","women55_64",0.86
"Malawi","women65_plus",0.68
"Malawi","men15_24",4.35
"Malawi","men25_34",4.6
"Malawi","men35_44",4
"Malawi","men45_54",3.37
"Malawi","men55_64",2.55
"Malawi","men65_plus",1.85
"Malaysia","gdp",10.3
"Malaysia","women15_24",8.6
"Malaysia","women25_34",7.29
"Malaysia","women35_44",5.3
"Malaysia","women45_54",3.52
"Malaysia","women55_64",1.98
"Malaysia","women65_plus",0.92
"Malaysia","men15_24",8.85
"Malaysia","men25_34",8.16
"Malaysia","men35_44",7.12
"Malaysia","men45_54",5.73
"Malaysia","men55_64",4.3
"Malaysia","men65_plus",2.89
"Namibia","gdp",5.85
"Namibia","women15_24",6.03
"Namibia","women25_34",5.85
"Namibia","women35_44",4.72
"Namibia","women45_54",3.46
"Namibia","women55_64",2.34
"Namibia","women65_plus",1.39
"Namibia","men15_24",5.57
"Namibia","men25_34",5.93
"Namibia","men35_44",5.35
"Namibia","men45_54",4.16
"Namibia","men55_64",2.99
"Namibia","men65_plus",1.88
"Niger","gdp",1.12
"Niger","women15_24",0.94
"Niger","women25_34",0.63
"Niger","women35_44",0.35
"Niger","women45_54",0.14
"Niger","women55_64",0.05
"Niger","women65_plus",0.02
"Niger","men15_24",1.96
"Niger","men25_34",1.54
"Niger","men35_44",1
"Niger","men45_54",0.52
"Niger","men55_64",0.22
"Niger","men65_plus",0.09
"Nigeria","gdp",3.26
"Nigeria","women15_24",4.63
"Nigeria","women25_34",3.55
"Nigeria","women35_44",2.64
"Nigeria","women45_54",1.75
"Nigeria","women55_64",1
"Nigeria","women65_plus",0.57
"Nigeria","men15_24",6.01
"Nigeria","men25_34",5.85
"Nigeria","men35_44",4.88
"Nigeria","men45_54",3.79
"Nigeria","men55_64",2.61
"Nigeria","men65_plus",1.73
"Nicaragua","gdp",3.45
"Nicaragua","women15_24",5.66
"Nicaragua","women25_34",5.4
"Nicaragua","women35_44",4.48
"Nicaragua","women45_54",3.2
"Nicaragua","women55_64",2.15
"Nicaragua","women65_plus",1.5
"Nicaragua","men15_24",5.06
"Nicaragua","men25_34",5.05
"Nicaragua","men35_44",4.74
"Nicaragua","men45_54",3.89
"Nicaragua","men55_64",2.77
"Nicaragua","men65_plus",1.87
"Netherlands","gdp",36.6
"Netherlands","women15_24",10.7
"Netherlands","women25_34",10.9
"Netherlands","women35_44",10.3
"Netherlands","women45_54",9.57
"Netherlands","women55_64",8.86
"Netherlands","women65_plus",8.22
"Netherlands","men15_24",10.7
"Netherlands","men25_34",11.5
"Netherlands","men35_44",10.9
"Netherlands","men45_54",10.5
"Netherlands","men55_64",9.76
"Netherlands","men65_plus",9.19
"Norway","gdp",41.4
"Norway","women15_24",10.7
"Norway","women25_34",11.8
"Norway","women35_44",11.1
"Norway","women45_54",10.5
"Norway","women55_64",9.47
"Norway","women65_plus",8.35
"Norway","men15_24",10.9
"Norway","men25_34",11.8
"Norway","men35_44",11.5
"Norway","men45_54",11.1
"Norway","men55_64",9.98
"Norway","men65_plus",9.1
"Nepal","gdp",1.41
"Nepal","women15_24",2.55
"Nepal","women25_34",1.44
"Nepal","women35_44",0.63
"Nepal","women45_54",0.34
"Nepal","women55_64",0.14
"Nepal","women65_plus",0.04
"Nepal","men15_24",4.89
"Nepal","men25_34",4.32
"Nepal","men35_44",3.25
"Nepal","men45_54",2.26
"Nepal","men55_64",1.3
"Nepal","men65_plus",0.69
"New Zealand","gdp",27.6
"New Zealand","women15_24",11.8
"New Zealand","women25_34",11.6
"New Zealand","women35_44",10.8
"New Zealand","women45_54",10.2
"New Zealand","women55_64",9.58
"New Zealand","women65_plus",9.12
"New Zealand","men15_24",11.4
"New Zealand","men25_34",11.4
"New Zealand","men35_44",11
"New Zealand","men45_54",10.4
"New Zealand","men55_64",9.95
"New Zealand","men65_plus",9.71
"Oman","gdp",27
"Oman","women15_24",5.87
"Oman","women25_34",4.56
"Oman","women35_44",2.81
"Oman","women45_54",1.13
"Oman","women55_64",0.43
"Oman","women65_plus",0.14
"Oman","men15_24",6.87
"Oman","men25_34",6.32
"Oman","men35_44",5.55
"Oman","men45_54",3.62
"Oman","men55_64",1.6
"Oman","men65_plus",0.52
"Pakistan","gdp",2.92
"Pakistan","women15_24",2.53
"Pakistan","women25_34",1.78
"Pakistan","women35_44",1.14
"Pakistan","women45_54",0.69
"Pakistan","women55_64",0.37
"Pakistan","women65_plus",0.21
"Pakistan","men15_24",4.73
"Pakistan","men25_34",4.39
"Pakistan","men35_44",3.73
"Pakistan","men45_54",3.01
"Pakistan","men55_64",2.21
"Pakistan","men65_plus",1.49
"Panama","gdp",10.7
"Panama","women15_24",8.93
"Panama","women25_34",8.72
"Panama","women35_44",7.72
"Panama","women45_54",6.49
"Panama","women55_64",5.32
"Panama","women65_plus",4.14
"Panama","men15_24",8.11
"Panama","men25_34",8.26
"Panama","men35_44",7.54
"Panama","men45_54",6.53
"Panama","men55_64",5.42
"Panama","men65_plus",4.27
"Peru","gdp",5.25
"Peru","women15_24",7.91
"Peru","women25_34",7.56
"Peru","women35_44",6.23
"Peru","women45_54",5.08
"Peru","women55_64",3.99
"Peru","women65_plus",3.1
"Peru","men15_24",8.59
"Peru","men25_34",8.95
"Peru","men35_44",8.06
"Peru","men45_54",7.05
"Peru","men55_64",5.94
"Peru","men65_plus",4.9
"Philippines","gdp",4.23
"Philippines","women15_24",8.4
"Philippines","women25_34",8.42
"Philippines","women35_44",7.33
"Philippines","women45_54",6.19
"Philippines","women55_64",5.31
"Philippines","women65_plus",3.97
"Philippines","men15_24",8.02
"Philippines","men25_34",8.25
"Philippines","men35_44",7.44
"Philippines","men45_54",6.61
"Philippines","men55_64",5.81
"Philippines","men65_plus",4.82
"Papua New Guinea","gdp",2.44
"Papua New Guinea","women15_24",4.15
"Papua New Guinea","women25_34",3.15
"Papua New Guinea","women35_44",2.14
"Papua New Guinea","women45_54",1.17
"Papua New Guinea","women55_64",0.72
"Papua New Guinea","women65_plus",0.45
"Papua New Guinea","men15_24",5.28
"Papua New Guinea","men25_34",5.21
"Papua New Guinea","men35_44",4.2
"Papua New Guinea","men45_54",2.66
"Papua New Guinea","men55_64",1.76
"Papua New Guinea","men65_plus",0.73
"Poland","gdp",11.3
"Poland","women15_24",10.5
"Poland","women25_34",11.5
"Poland","women35_44",10.8
"Poland","women45_54",9.62
"Poland","women55_64",8.31
"Poland","women65_plus",6.96
"Poland","men15_24",10.2
"Poland","men25_34",11.3
"Poland","men35_44",10.9
"Poland","men45_54",10.2
"Poland","men55_64",9.17
"Poland","men65_plus",8.15
"Portugal","gdp",23.6
"Portugal","women15_24",6.98
"Portugal","women25_34",7.32
"Portugal","women35_44",5.47
"Portugal","women45_54",4.3
"Portugal","women55_64",3.01
"Portugal","women65_plus",2.01
"Portugal","men15_24",7.02
"Portugal","men25_34",7.03
"Portugal","men35_44",6.09
"Portugal","men45_54",5.09
"Portugal","men55_64",4.12
"Portugal","men65_plus",3.17
"Paraguay","gdp",8.47
"Paraguay","women15_24",6.68
"Paraguay","women25_34",6.42
"Paraguay","women35_44",5.53
"Paraguay","women45_54",4.37
"Paraguay","women55_64",3.62
"Paraguay","women65_plus",2.82
"Paraguay","men15_24",6.21
"Paraguay","men25_34",6.26
"Paraguay","men35_44",5.75
"Paraguay","men45_54",4.93
"Paraguay","men55_64",4.23
"Paraguay","men65_plus",3.51
"Palestine","gdp",NA
"Palestine","women15_24",7.61
"Palestine","women25_34",7.11
"Palestine","women35_44",5.97
"Palestine","women45_54",4.11
"Palestine","women55_64",1.88
"Palestine","women65_plus",0.55
"Palestine","men15_24",7.94
"Palestine","men25_34",8.24
"Palestine","men35_44",7.9
"Palestine","men45_54",7.23
"Palestine","men55_64",5.28
"Palestine","men65_plus",2.67
"Qatar","gdp",NA
